unique_id,first_name,last_name,wallet,contribution_amount,contribution_date,address_line_1,city,state,zip,phone,employer,occupation,kyc_status,compliance_status
CPE2M3BW,Brenda,Cruz,0x3214a9b9e68f3fc25f06df837bb5036fbcb9c60f,10.47,2024-12-07,348 Pine Street,Austin,TX,78701,555-6380,Consulting Firm,CEO,NOT_FOUND,NO_KYC_RECORD
RGBZX2ZV,Rebecca,Morgan,0x338e51a7036a2d062c4348f191c49423131b8e19,977.17,2024-02-16,921 Poplar Circle,Minneapolis,MN,55401,555-4983,Aerospace Corp,Pharmacist,NOT_FOUND,NO_KYC_RECORD
RGBZX2ZV,Rebecca,Morgan,0x338e51a7036a2d062c4348f191c49423131b8e19,61.91,2024-05-30,921 Poplar Circle,Minneapolis,MN,55401,555-4983,Aerospace Corp,Pharmacist,NOT_FOUND,NO_KYC_RECORD
6KMNDSDD,Julie,Jenkins,0x3426886ae6468b24e157deed18c2b7903bac517b,103.39,2024-05-15,470 Maple Way,Minneapolis,MN,55401,555-3576,Hospital Network,Security Consultant,NOT_FOUND,NO_KYC_RECORD
6KMNDSDD,Julie,Jenkins,0x3426886ae6468b24e157deed18c2b7903bac517b,28.38,2024-05-18,470 Maple Way,Minneapolis,MN,55401,555-3576,Hospital Network,Security Consultant,NOT_FOUND,NO_KYC_RECORD
GENYJC9J,Peter,Moreno,0x36bf71066dd6fc93456d0643b228b8278086bdce,3300,2024-12-10,919 Ash Way,Phoenix,AZ,85001,555-6819,Construction Co,Editor,NOT_FOUND,NO_KYC_RECORD
M57JWYHO,Mark,Kim,0x3a5054038cd2fc7a7853c57d8954649a7250c2e2,1687.01,2024-11-28,855 Poplar Way,Tucson,AZ,85701,555-3690,Retail Giants,Director,PASSED,VALID
ETQ4A0MC,George,Hayes,0x3ad706f1fb16f02d574548d6ece4cdc7c4b71c7d,1116.27,2024-02-02,788 Oak Street,Philadelphia,PA,19101,555-9837,Retail Chain,Underwriter,NOT_FOUND,NO_KYC_RECORD
ETQ4A0MC,George,Hayes,0x3ad706f1fb16f02d574548d6ece4cdc7c4b71c7d,608.96,2024-05-04,788 Oak Street,Philadelphia,PA,19101,555-9837,Retail Chain,Underwriter,NOT_FOUND,NO_KYC_RECORD
ETQ4A0MC,George,Hayes,0x3ad706f1fb16f02d574548d6ece4cdc7c4b71c7d,956.92,2024-08-20,788 Oak Street,Philadelphia,PA,19101,555-9837,Retail Chain,Underwriter,NOT_FOUND,NO_KYC_RECORD
AMNKHZ1B,Jennifer,Mendoza,0x3db59b0ecfdccda46e37fca7df83f9f66f45f2c1,845.27,2024-01-24,124 Pine Way,Milwaukee,WI,53201,555-6978,Food Services,Operations Manager,NOT_FOUND,NO_KYC_RECORD
AMNKHZ1B,Jennifer,Mendoza,0x3db59b0ecfdccda46e37fca7df83f9f66f45f2c1,42.18,2024-06-17,124 Pine Way,Milwaukee,WI,53201,555-6978,Food Services,Operations Manager,NOT_FOUND,NO_KYC_RECORD
AMNKHZ1B,Jennifer,Mendoza,0x3db59b0ecfdccda46e37fca7df83f9f66f45f2c1,192.5,2024-11-25,124 Pine Way,Milwaukee,WI,53201,555-6978,Food Services,Operations Manager,NOT_FOUND,NO_KYC_RECORD
QNIK9137,Ruth,Castillo,0x429a00449459ca69b289186fd69bb8d99609959e,3299.84,2024-09-14,295 Willow Way,Sacramento,CA,95801,555-6299,Nonprofit Org,Architect,NOT_FOUND,NO_KYC_RECORD
ZF5RXT8R,Kevin,Jackson,0x4370343fee9ccbba3333a74348800b5e05ebe661,630.77,2024-12-06,790 Willow Lane,Oakland,CA,94601,555-7366,Education First,Research Scientist,NOT_FOUND,NO_KYC_RECORD
PK7M5CYL,Gregory,Jenkins,0x451206a32e3cdb54034607fcc15ae4faa519cee6,483.13,2024-05-05,939 Poplar Avenue,Los Angeles,CA,90001,555-8430,Music Label,Professor,PASSED,VALID
PK7M5CYL,Gregory,Jenkins,0x451206a32e3cdb54034607fcc15ae4faa519cee6,433.12,2024-11-02,939 Poplar Avenue,Los Angeles,CA,90001,555-8430,Music Label,Professor,PASSED,VALID
3MYBZPJ9,Carol,Johnson,0x4578861245ae03df3909d210842d467976291fe5,1669.42,2024-07-25,314 Pine Lane,Philadelphia,PA,19101,555-6041,Sports Management,Engineer,NOT_FOUND,NO_KYC_RECORD
3MYBZPJ9,Carol,Johnson,0x4578861245ae03df3909d210842d467976291fe5,1629.58,2024-08-17,314 Pine Lane,Philadelphia,PA,19101,555-6041,Sports Management,Engineer,NOT_FOUND,NO_KYC_RECORD
89CMLQ63,Rebecca,Jordan,0x4a34c7bdb12ba3930b4f2801cb5b0c93af56b537,815.99,2024-07-10,622 Maple Road,Philadelphia,PA,19101,555-6364,Healthcare Partners,Professor,NOT_FOUND,NO_KYC_RECORD
89CMLQ63,Rebecca,Jordan,0x4a34c7bdb12ba3930b4f2801cb5b0c93af56b537,518.18,2024-08-25,622 Maple Road,Philadelphia,PA,19101,555-6364,Healthcare Partners,Professor,NOT_FOUND,NO_KYC_RECORD
I3CLB3U4,Nathan,Bailey,0x4a59d912a286645b5eb383d809755d8e03b383ae,43.15,2024-04-30,731 Oak Way,Seattle,WA,98101,555-1803,Logistics Co,CEO,PASSED,VALID
8WUVFN9T,Nicholas,Adams,0x4ac73ebf27790a9a4650d10ca0b146a30de89946,1941.62,2024-07-09,241 Poplar Lane,Detroit,MI,48201,555-5961,Construction Co,Designer,NOT_FOUND,NO_KYC_RECORD
GJ360Y0R,Patricia,Simmons,0x4aef4b40363280778215fedef79b1f52fc74cc68,38.28,2024-12-11,806 Poplar Drive,San Jose,CA,95101,555-8119,Pharmacy Chain,Partner,NOT_FOUND,NO_KYC_RECORD
QC3S78YD,Jennifer,Vargas,0x4c1e27a0b54c139d71fb26e36844d22f93aa4cf3,375.19,2024-10-15,613 Pine Way,Miami,FL,33101,555-7513,Pharmacy Chain,CPA,PASSED,VALID
FCPJ4T0A,Charles,Reyes,0x4ca8c1ea0324538018d71b219d01121f44802ea4,46.24,2024-06-14,273 Cedar Court,Boston,MA,02101,555-2109,Travel Agency,Security Consultant,PASSED,VALID
FCPJ4T0A,Charles,Reyes,0x4ca8c1ea0324538018d71b219d01121f44802ea4,811.88,2024-08-17,273 Cedar Court,Boston,MA,02101,555-2109,Travel Agency,Security Consultant,PASSED,VALID
FZY1OK53,Gerald,Bailey,0x4dcbbb517db46434d86ab320d7f33c5b7b24c8e9,327.56,2024-11-09,316 Birch Lane,New York,NY,10001,555-4231,Film Studio,Underwriter,NOT_FOUND,NO_KYC_RECORD
D4KMZPDR,John,Marshall,0x4e2610b1417a9e4a332dfd2f7c9cd7a71e09cdac,820.56,2024-09-11,733 Poplar Circle,Las Vegas,NV,89101,555-9207,Construction Co,Director,NOT_FOUND,NO_KYC_RECORD
D4KMZPDR,John,Marshall,0x4e2610b1417a9e4a332dfd2f7c9cd7a71e09cdac,1012.92,2024-10-09,733 Poplar Circle,Las Vegas,NV,89101,555-9207,Construction Co,Director,NOT_FOUND,NO_KYC_RECORD
R6OLX2YW,Sara,Sanders,0x4f182d7fca5d5db5a0b5179ff4b5e8afed6d6a04,1273.05,2024-06-12,935 Oak Circle,Virginia Beach,VA,23451,555-7493,Music Label,Professor,NOT_FOUND,NO_KYC_RECORD
AP4SH8KJ,Jack,Hayes,0x4f7cbe911f229af59b59933f29d47d3294e1f910,1658.64,2024-09-30,490 Spruce Road,Detroit,MI,48201,555-3058,Architecture Firm,Creative Director,NOT_FOUND,NO_KYC_RECORD
AP4SH8KJ,Jack,Hayes,0x4f7cbe911f229af59b59933f29d47d3294e1f910,352.64,2024-10-16,490 Spruce Road,Detroit,MI,48201,555-3058,Architecture Firm,Creative Director,NOT_FOUND,NO_KYC_RECORD
T8UUGKEH,Julie,Kim,0x4fc80d6a55925a5b5b8e3ae9c6fa56c9cf9bff5b,3300,2024-11-07,220 Willow Way,Indianapolis,IN,46201,555-3716,Nonprofit Org,Security Consultant,PASSED,VALID
HOMDYJ6X,Jessica,Hernandez,0x4fe076c393985d328c46384018b77ec09fadb831,592.48,2024-03-10,573 Oak Circle,Jacksonville,FL,32201,555-2695,Music Label,Mechanical Engineer,NOT_FOUND,NO_KYC_RECORD
HOMDYJ6X,Jessica,Hernandez,0x4fe076c393985d328c46384018b77ec09fadb831,16,2024-12-23,573 Oak Circle,Jacksonville,FL,32201,555-2695,Music Label,Mechanical Engineer,NOT_FOUND,NO_KYC_RECORD
M13JF1JW,Debra,Anderson,0x523a2ca6a5d61408a22071c45869970473e785a5,1269.73,2024-01-07,524 Pine Court,Seattle,WA,98101,555-9600,Nonprofit Org,Operations Manager,PASSED,VALID
PYU7VDP8,Christine,Washington,0x5246d0a65978e9bd34c7aa7a52354b9f49797a80,1844.04,2024-06-17,104 Pine Drive,Charlotte,NC,28201,555-5974,Nonprofit Org,Producer,PASSED,VALID
HXHX4VMR,Denise,Brown,0x53598c1e45f207f550fe89ffc12ea5fa1074c6f5,1804.55,2024-04-06,793 Birch Avenue,Phoenix,AZ,85001,555-1457,Gaming Studio,Engineer,PASSED,VALID
SKTN9UM4,Ashley,Gutierrez,0x5479e4c84180af2d1c1ea285377cd6a0834567e2,464.8,2024-05-16,382 Ash Way,Phoenix,AZ,85001,555-7757,Film Studio,Restaurant Owner,NOT_FOUND,NO_KYC_RECORD
N7YMXCEN,Kenneth,Woods,0x576b1cec6392e4828d9265580b0f4386f5da9a38,230.37,2024-03-12,831 Pine Boulevard,Fort Worth,TX,76101,555-9256,Pharmacy Chain,Banker,NOT_FOUND,NO_KYC_RECORD
RJ77OYU1,Carol,Ellis,0x577785223d3bee101e0068ec4e2606dbdfb3dac4,1015.57,2024-02-04,985 Ash Street,San Jose,CA,95101,555-3617,Insurance Corp,Consultant,NOT_FOUND,NO_KYC_RECORD
GHV6TMP2,Anna,Romero,0x5832e71d9dcb0825c177aaced9ba15a3635b698c,815.64,2024-05-22,721 Poplar Avenue,Minneapolis,MN,55401,555-6488,Retail Giants,Real Estate Agent,NOT_FOUND,NO_KYC_RECORD
N6Z37BFH,Joshua,Hall,0x5a7484093ea1c9f0ba6f92ecb04c5d31855b5edb,1699.53,2024-06-09,765 Pine Circle,Boston,MA,02101,555-9828,Travel Agency,Restaurant Owner,NOT_FOUND,NO_KYC_RECORD
N6Z37BFH,Joshua,Hall,0x5a7484093ea1c9f0ba6f92ecb04c5d31855b5edb,1599.47,2024-11-26,765 Pine Circle,Boston,MA,02101,555-9828,Travel Agency,Restaurant Owner,NOT_FOUND,NO_KYC_RECORD
CFNVL7IY,Mason,Sullivan,0x5b1faa040d43e4421e1195310a7a7043cad76edd,3300,2024-02-17,593 Cedar Place,Las Vegas,NV,89101,555-8086,Aerospace Corp,Producer,NOT_FOUND,NO_KYC_RECORD
G2EY457P,Maria,Patel,0x5bb8c5e66c45b686c8fcfe1dcf922b8be1c0cc65,377.14,2024-11-27,585 Ash Road,Philadelphia,PA,19101,555-3900,Travel Agency,Software Engineer,PASSED,VALID
9JPPXXZE,Charlotte,Wells,0x5cde675d9ed83380ca00a447ab984db9c0d3981a,540.06,2024-10-22,538 Spruce Avenue,Chicago,IL,60601,555-1134,University,Consultant,NOT_FOUND,NO_KYC_RECORD
9JPPXXZE,Charlotte,Wells,0x5cde675d9ed83380ca00a447ab984db9c0d3981a,1816.72,2024-10-24,538 Spruce Avenue,Chicago,IL,60601,555-1134,University,Consultant,NOT_FOUND,NO_KYC_RECORD
1VTXHOVE,Mary,Griffin,0x5d80f366d3e403f877023b8fef5b8db4421aa091,705.55,2024-02-19,758 Cedar Drive,New York,NY,10001,555-9965,Tech Solutions Inc,Attorney,NOT_FOUND,NO_KYC_RECORD
1VTXHOVE,Mary,Griffin,0x5d80f366d3e403f877023b8fef5b8db4421aa091,1739.8,2024-08-20,758 Cedar Drive,New York,NY,10001,555-9965,Tech Solutions Inc,Attorney,NOT_FOUND,NO_KYC_RECORD
WVD3JZ0S,Janet,Hamilton,0x5f29d7266520f905a7ed3dc31fee98e81cd72907,402.09,2024-04-09,616 Poplar Way,Detroit,MI,48201,555-5176,Media Productions,Network Engineer,PASSED,VALID
WVD3JZ0S,Janet,Hamilton,0x5f29d7266520f905a7ed3dc31fee98e81cd72907,43.52,2024-05-11,616 Poplar Way,Detroit,MI,48201,555-5176,Media Productions,Network Engineer,PASSED,VALID
2PQUL5JZ,Dennis,Chen,0x6017210e5d9d04bd0bee39ebbb4a25a7f9e4c0dd,1218.75,2024-07-17,189 Spruce Way,Austin,TX,78701,555-2357,Tech Startup,Site Supervisor,NOT_FOUND,NO_KYC_RECORD
0ZSA683Z,Christopher,McDonald,0x62ce8019d99f1200de3aeac4442318d5f0b43a95,579.38,2024-04-20,176 Elm Boulevard,Dallas,TX,75201,555-8841,Retail Chain,Regional Manager,NOT_FOUND,NO_KYC_RECORD
0ZSA683Z,Christopher,McDonald,0x62ce8019d99f1200de3aeac4442318d5f0b43a95,377.72,2024-06-08,176 Elm Boulevard,Dallas,TX,75201,555-8841,Retail Chain,Regional Manager,NOT_FOUND,NO_KYC_RECORD
ZO41S71R,David,Perez,0x63a1ea1588480d7c126c336d05a4abbc10417600,483.18,2024-05-14,479 Oak Place,Atlanta,GA,30301,555-6532,Nonprofit Org,Store Manager,PASSED,VALID
ZO41S71R,David,Perez,0x63a1ea1588480d7c126c336d05a4abbc10417600,382.82,2024-07-04,479 Oak Place,Atlanta,GA,30301,555-6532,Nonprofit Org,Store Manager,PASSED,VALID
QZJ4A5RX,Andrea,Gibson,0x6488c9349a0ac14172e8cc8672b8c5373d79ebf4,1004.48,2024-07-04,110 Spruce Road,Houston,TX,77001,555-8892,Hotel Chain,Teacher,NOT_FOUND,NO_KYC_RECORD
QZJ4A5RX,Andrea,Gibson,0x6488c9349a0ac14172e8cc8672b8c5373d79ebf4,925.77,2024-11-28,110 Spruce Road,Houston,TX,77001,555-8892,Hotel Chain,Teacher,NOT_FOUND,NO_KYC_RECORD
Q59TWRLG,Lisa,Stewart,0x664f7d7d8fa5764f4b78e5931613aaea385ce77d,119.92,2024-02-09,145 Willow Drive,Phoenix,AZ,85001,555-3950,Publishing House,Real Estate Agent,NOT_FOUND,NO_KYC_RECORD
WTNAVWP5,Debra,Bell,0x67a131c6035aba27743a288b9ea9638c735fb182,1784.09,2024-12-10,892 Pine Avenue,Albuquerque,NM,87101,555-7800,Music Label,Engineer,NOT_FOUND,NO_KYC_RECORD
FWYUH5HZ,Sophia,James,0x69ce55f1b440b11a32cd7ebd657b981aa3a88aa8,1796.63,2024-08-10,869 Willow Street,San Jose,CA,95101,555-9503,Healthcare Partners,CEO,NOT_FOUND,NO_KYC_RECORD
ZE770A29,Joshua,Stewart,0x6d6de9a618f8838c8eb7581594cfa3bcca2caf83,533.04,2024-06-23,827 Oak Road,Indianapolis,IN,46201,555-4815,Accounting Firm,Director,NOT_FOUND,NO_KYC_RECORD
KMFOSQ9O,Nicholas,Hughes,0x70ec3b64e8ecfb732b3eeea4ee8d0cc5a050055c,1182.19,2024-06-13,173 Birch Court,Milwaukee,WI,53201,555-7691,Tech Startup,Software Engineer,PASSED,VALID
KMFOSQ9O,Nicholas,Hughes,0x70ec3b64e8ecfb732b3eeea4ee8d0cc5a050055c,195.89,2024-10-15,173 Birch Court,Milwaukee,WI,53201,555-7691,Tech Startup,Software Engineer,PASSED,VALID
T65M28Z3,Brandon,Wood,0x71283c24e1df5073f8eb52feb48bd5680ffc3ecb,1790.27,2024-11-13,782 Oak Circle,Charlotte,NC,28201,555-3539,Music Label,Engineer,NOT_FOUND,NO_KYC_RECORD
YDJM4G6H,Eugene,Nelson,0x718113be3ad96f60385ff9344640c73e25d25765,250.14,2024-05-31,855 Ash Road,Portland,OR,97201,555-8956,Retail Giants,Architect,NOT_FOUND,NO_KYC_RECORD
YDJM4G6H,Eugene,Nelson,0x718113be3ad96f60385ff9344640c73e25d25765,639.1,2024-06-16,855 Ash Road,Portland,OR,97201,555-8956,Retail Giants,Architect,NOT_FOUND,NO_KYC_RECORD
YDJM4G6H,Eugene,Nelson,0x718113be3ad96f60385ff9344640c73e25d25765,20.04,2024-10-15,855 Ash Road,Portland,OR,97201,555-8956,Retail Giants,Architect,NOT_FOUND,NO_KYC_RECORD
EIBZFFHN,Ruth,Owens,0x72964cb2e2699a2dbbf456ceee7dacda44da9b80,41.83,2024-08-24,657 Elm Boulevard,Cleveland,OH,44101,555-4789,Tech Solutions Inc,Restaurant Owner,PASSED,VALID
GMC4HU1A,Chloe,Washington,0x72b6fbbefe9c2189db481e1d965db73185cf4ce6,603.7,2024-05-22,137 Elm Road,Houston,TX,77001,555-8722,Hospital Network,Real Estate Agent,PASSED,VALID
YFAU1TBD,Amy,Reed,0x73f8cd6698ad884f40e02888691e0096c62883e8,36.96,2024-09-26,593 Birch Circle,Cleveland,OH,44101,555-4412,Telecom Company,Attorney,NOT_FOUND,NO_KYC_RECORD
